"slug","lat","lng","native_lang"
slovenia,"46.151241","14.995463",1
spain,"40.463667",-3.74922,2
united-states,"37.09024",-95.712891,1
estonia,"58.595272","25.013607",1
ethiopia,"9.145","40.489673",1
philippines,"12.879721","121.774017",1
finland,"61.92411","25.748151",1
fiji,-16.578193,"179.414413",1
france,"46.227638","2.213749",3
gabon,-0.803689,"11.609444",3
gambia,"13.443182",-15.310139,1
georgia,"42.315407","43.356892",1
ghana,"7.946527",-1.023194,1
grenada,"12.262776",-61.604171,1
greece,"39.074208","21.824312",1
guatemala,"15.783471",-90.230759,2
guyana,"4.860416",-58.93018,1
guinea,"9.945587",-9.696645,3
equatorial-guinea,"1.650801","10.267895",2
guinea-bissau,"11.803749",-15.180413,1
haiti,"18.971187",-72.285215,3
honduras,"15.199999",-86.241905,2
hungary,"47.162494","19.503304",1
india,"20.593684","78.96288",1
indonesia,-0.789275,"113.921327",1
iraq,"33.223191","43.679291",1
iran,"32.427908","53.688046",1
ireland,"53.41291",-8.24389,1
iceland,"64.963051",-19.020835,1
marshall-islands,"7.131474","171.184478",1
solomon-islands,-9.64571,"160.156194",1
israel,"31.046051","34.851612",1
italy,"41.87194","12.56738",1
jamaica,"18.109581",-77.297508,1
japan,"36.204824","138.252924",1
jordan,"30.585164","36.238414",1
kazakhstan,"48.019573","66.923684",1
kenya,-0.023559,"37.906193",1
kyrgyzstan,"41.20438","74.766098",1
kiribati,-3.370417,-168.734039,1
kuwait,"29.31166","47.481766",1
laos,"19.85627","102.495496",1
lesotho,-29.609988,"28.233608",1
latvia,"56.879635","24.603189",1
lebanon,"33.854721","35.862285",1
liberia,"6.428055",-9.429499,1
libya,"26.3351","17.228331",1
liechtenstein,"47.166","9.555373",1
lithuania,"55.169438","23.881275",1
luxembourg,"49.815273","6.129583",1
madagascar,-18.766947,"46.869107",3
malaysia,"4.210484","101.975766",1
malawi,-13.254308,"34.301525",1
maldives,"3.202778","73.22068",1
mali,"17.570692",-3.996166,3
malta,"35.937496","14.375416",1
morocco,"31.791702",-7.09262,1
mauritius,-20.348404,"57.552152",1
mauritania,"21.00789",-10.940835,1
mexico,"23.634501",-102.552784,2
micronesia,"7.425554","150.550812",1
moldova,"47.411631","28.369885",1
monaco,"43.750298","7.412841",3
mongolia,"46.862496","103.846656",1
montenegro,"42.708678","19.37439",1
mozambique,-18.665695,"35.529562",1
namibia,-22.95764,"18.49041",1
nauru,-0.522778,"166.931503",1
nepal,"28.394857","84.124008",1
nicaragua,"12.865416",-85.207229,2
niger,"17.607789","8.081666",3
nigeria,"9.081999","8.675277",1
norway,"60.472024","8.468946",1
new-zealand,-40.900557,"174.885971",1
oman,"21.512583","55.923255",1
netherlands,"52.132633","5.291266",1
pakistan,"30.375321","69.345116",1
palau,"7.51498","134.58252",1
panama,"8.537981",-80.782127,2
papua-new-guinea,-6.314993,"143.95555",1
paraguay,-23.442503,-58.443832,2
peru,-9.189967,-75.015152,2
poland,"51.919438","19.145136",1
portugal,"39.399872",-8.224454,2
united-kingdom,"55.378051",-3.435973,1
central-african-republic,"6.611111","20.939444",3
czech-republic,"49.817492","15.472962",1
north-macedonia,"","",1
republic-of-the-congo,"","",3
democratic-republic-of-the-congo,"","",3
dominican-republic,"18.735693",-70.162651,2
south-africa,-30.559482,"22.937506",1
rwanda,-1.940278,"29.873888",3
romania,"45.943161","24.96676",1
russia,"61.52401","105.318756",1
samoa,-13.759029,-172.104629,1
saint-kitts-and-nevis,"17.357822",-62.782998,1
san-marino,"43.94236","12.457777",1
saint-vincent-and-the-grenadines,"12.984305",-61.287228,1
saint-lucia,"13.909444",-60.978893,1
são-tomé-and-príncipe,"0.18636","6.613081",1
senegal,"14.497401",-14.452362,3
serbia,"44.016521","21.005859",1
seychelles,-4.679574,"55.491977",3
sierra-leone,"8.460555",-11.779889,1
singapore,"1.352083","103.819836",1
syria,"34.802075","38.996815",1
somalia,"5.152149","46.199616",1
sri-lanka,"7.873054","80.771797",1
eswatini,"","",1
sudan,"12.862807","30.217636",1
south-sudan,"","",1
sweden,"60.128161","18.643501",1
switzerland,"46.818188","8.227512",3
"suriname,-lang","","",1
thailand,"15.870032","100.992541",1
tanzania,-6.369028,"34.888822",1
tajikistan,"38.861034","71.276093",1
east-timor,"","",1
togo,"8.619543","0.824782",1
tonga,-21.178986,-175.198242,1
trinidad-and-tobago,"10.691803",-61.222503,1
tunisia,"33.886917","9.537499",1
turkmenistan,"38.969719","59.556278",1
turkey,"38.963745","35.243322",1
tuvalu,-7.109535,"177.64933",1
ukraine,"48.379433","31.16558",1
uganda,"1.373333","32.290275",1
uruguay,-32.522779,-55.765835,2
uzbekistan,"41.377491","64.585262",1
vanuatu,-15.376706,"166.959158",3
venezuela,"6.42375",-66.58973,2
vietnam,"14.058324","108.277199",1
yemen,"15.552727","48.516388",1
djibouti,"11.825138","42.590275",3
zambia,-13.133897,"27.849332",1
zimbabwe,-19.015438,"29.154857",1
chinese-taipei,,,1
northern-cyprus,,,1
akv-kemajl-azizi,,,1
tahiti,,,3
