festival_id,name,description,address,lang
369,Festival Internacional de Danza de San José Iturbide Gto,"Contribuir al desarrollo integral de ciudadanos a través del arte y la cultura bajo un sentido de orgullo y pertenencia hacia  nuestro espacio étnico y cultural, teniendo como premisa el respeto y el apego a las tradiciones y costumbres a través del arte es uno de los objetivos del ""Festival Internacional de Danza"" (FID), evento cultural folklórico organizado por la Compañía Municipal de Danza de San José Iturbide, agrupación agremiada a CIOFF México que en cordinación con él H. Ayuntamiento, la Secretaria de Turismo del Estado, la Casa de Cultura y el Consejo Turístico municipal, busca mostrar al público en general el Patrimonio Cultural Inmaterial de los pueblos del mundo, así como contribuir en el cumplimiento de los objetivos de CIOFF y la UNESCO en la diseminación y protección de las culturas tradicionales promoviendo el entendimiento mutuo y la paz,  por medio de eventos de gran calidad y actividades colaterales que engloban un festival integral para toda la ciudadanía.",No Address,2
369,San José Iturbide International Dance Festival GTO,"Contribuer au développement intégral des citoyens à travers l'art et la culture sous un sens de la fierté et appartenant à notre espace ethnique et culturel, avoir un respect et un attachement prémises aux traditions et aux coutumes à travers l'art est l'un des objectifs du ""Festival de la danse internationale"" (FID), événement culturel folklorique organisé par la Municipal Dance Company de San José Iturbide, groupe ajouté à Cioff México que, en coronation avec lui H. Council, le secrétaire au tourisme de l'État, la Chambre de la culture et le conseil touristique municipal cherche à montrer au grand public le patrimoine culturel immatériel des peuples du monde, ainsi que pour contribuer à l'accomplissement des objectifs de Cioff et de l'UNESCO dans la diffusion et la protection des cultures traditionnelles favorisant la compréhension mutuelle et La Paz, à travers des événements de haute qualité et les activités collatérales qui incluent un festival complet pour tous les citoyens.",No Address,3
371,International Folklore Festival 'Dani caske' Puracic,"International Folklore Festival ""Dani caske – Puracic "" (Days of Caska - Puracic) was founded in 2011, and hosts 10-12 groups from Bosnia and Herzegovina and abroad. The Festival consists of four activities:


-       Round table on the topics of safeguarding of ICH;

-       International concerts of folk dance groups in: Puracic, Lukavac and Tuzla;

-       Gastro festival of traditional food and presentation of old and handmade crafts from BiH and visiting countries;

-       A gala concert including a parade of folklore groups, performances on the main stage, and a showcase of traditional costumes.""",Carsijska b.b.,1
371,Festival Folklore Internacional 'Dani Caske' Puracic,"El festival internacional del folklore ""Dani Caske - Puracic"" (Days of Caska - Puracic) se fundó en 2011 y organiza 10-12 grupos de Bosnia y Herzegovina y del extranjero.El festival consta de cuatro actividades:


- Mesa redonda sobre los temas de salvaguardia de ICH;

- Conciertos internacionales de grupos de danza popular en: Puracic, Lukavac y Tuzla;

- Festival de gastas de comida tradicional y presentación de artesanías antiguas y hechas a mano de Bih y países visitantes;

- Un concierto de gala que incluye un desfile de grupos folclóricos, actuaciones en el escenario principal y una muestra de disfraces tradicionales "".",Carsijska b.b.,2
371,Festival international du folklore 'Dani Caske' puracique,"Le festival international du folklore ""Dani Caske - Puracic"" (Days of Caska - Puracic) a été fondé en 2011 et accueille 10-12 groupes de Bosnie-Herzégovine et à l'étranger.Le festival se compose de quatre activités:


- table ronde sur les sujets de la sauvegarde de l'ICH;

- Concerts internationaux de groupes de danse folklorique dans: Puracic, Lukavac et Tuzla;

- Festival gastro de la nourriture traditionnelle et présentation de l'artisanat ancien et fait à la main de la BIH et des pays invités;

- Un concert de gala comprenant un défilé de groupes de folklore, des performances sur la scène principale et une vitrine de costumes traditionnels. """,Carsijska b.b.,3
106,Grand Prix of the folklore for children,No Description,Am Wasserwerk 1,1
106,Gran Premio del folklore para niños,No Description,Am Wasserwerk 1,2
106,Grand Prix du folklore pour les enfants,No Description,Am Wasserwerk 1,3
342,"International Folklore Festival ""The world dance in Tlaxcala""","The Festival was born in 2012 as a result of the concern for enriching art and culture through artistic expressions that stimulate, sensitize and constitute a fundamental means to gather peoples and various social groups to defend and preserve the intangible cultural heritage.
The festival takes place during the first week of August.Among the activities that are developed are: sowing of the tree, Mass for a world of peace, exhibition of handicrafts, parade, conversations, coexistence between groups and sports competition.Always attending at all times to combine the folk-artistic activity, with the human part and the coexistence of the groups with each other, which is one of the aims pursued by the Cioff festivals.",Privada HIdalgo No. 7 Belen,1
342,"Festival Internacional del Folklore ""El mundo Danza en Tlaxcala""","El festival nace en el año 2012 fruto de la inquietud por enriquecer el arte y la cultura por medio de expresiones artísticas que estimulen, sensibilicen y constituyan un medio fundamental para conseguir reunir a pueblos y diversos grupos sociales para defender y preservar el patrimonio cultural inmaterial.
El festival se lleva a cabo durante la primera semana de agosto. Dentro de las actividades que se desarrollan son: siembra del árbol, misa por un mundo de paz, exposición de artesanías, desfile, conversatorios, convivencia entre grupos y competencia deportiva. Siempre atendiendo en todo momento compaginar la actividad folklórica-artística, con la parte humana y de convivencia de los grupos entre sí, que es uno de los fines que persigue los festivales CIOFF.",Privada HIdalgo No. 7 Belen,2
342,"Festival international du folklore ""La danse mondiale à Tlaxcala""","Le festival est né en 2012 en raison de la préoccupation de l'enrichissement de l'art et de la culture à travers des expressions artistiques qui stimulent, sensibilisent et constituent un moyen fondamental de rassembler des peuples et divers groupes sociaux pour défendre et préserver le patrimoine culturel intangible.
Le festival a lieu au cours de la première semaine d'août.Parmi les activités qui sont développées: le semis de l'arbre, la masse pour un monde de paix, l'exposition d'artisanat, le défilé, les conversations, la coexistence entre les groupes et la compétition sportive.Toujours en tout temps pour combiner l'activité artistique folk-artistique, avec la partie humaine et la coexistence des groupes entre eux, qui est l'un des objectifs poursuivis par les festivals de Cioff.",Privada HIdalgo No. 7 Belen,3
64,"The International Folklore Festival, Strzegom",The Festival has been recognized as a CIOFF® International Festival,ul. T. Kosciuszki 2,1
64,"El Festival Internacional del Folklore, Strzegom",El festival ha sido reconocido como un festival internacional CIOFF®,ul. T. Kosciuszki 2,2
64,"Le festival international du folklore, Strzegom",Le festival a été reconnu comme un festival international CIOff®,ul. T. Kosciuszki 2,3
100,Folklore International Festival in the Safe-Ciego,No Description,Apartado de Correos 176,1
100,FESTIVAL INTERNATIONAL DE FOLKLORE EN EL SEGURA-CIEZA,No Description,Apartado de Correos 176,2
100,Festival international du folklore dans le coffre-fort,No Description,Apartado de Correos 176,3
72,International Folklore Festival Myjava,"International Folklore Festival Myjava is one of the biggest and most known festivals in Slovakia. The festival is focused on traditions from the west part of Slovakia. In the 2020 there will be the 61st unniversary of the festival. Each year the festival hosts at least 5 foreign groups from 5 different countries. The festival has many accompained happenings such as exhibitions,  performances for childres, performances in other cities at the west of the country traditional children playground and other. For more information visit a web page http://www.mffmyjava.sk/",Partizánska 290/17,1
72,Festival del folklore internacional myJava,"El festival internacional del folklore MyJava es uno de los festivales más grandes y conocidos de Eslovaquia.El festival se centra en las tradiciones de la parte oeste de Eslovaquia.En el 2020 habrá el 61º Unniversary of the Festival.Cada año, el festival alberga al menos 5 grupos extranjeros de 5 países diferentes.El festival tiene muchos acontecimientos acompañados, como exposiciones, actuaciones para niños, actuaciones en otras ciudades en el oeste del país, los niños tradicionales de juegos y otros.Para obtener más información, visite una página web http://www.mffmyjava.sk/",Partizánska 290/17,2
72,Festival du folklore international myjava,"Le festival du folklore international Myjava est l'un des festivals les plus grands et les plus connus de Slovaquie.Le festival se concentre sur les traditions de la partie ouest de la Slovaquie.En 2020, il y aura la 61e inversaire du festival.Chaque année, le festival accueille au moins 5 groupes étrangers de 5 pays différents.Le festival a de nombreux événements accompagnés tels que des expositions, des performances pour Childres, des performances dans d'autres villes de l'ouest du pays de jeu traditionnel des enfants traditionnels et d'autres.Pour plus d'informations, visitez une page Web http://www.mffmyjava.sk/",Partizánska 290/17,3
73,International CIOFF Folklore Festival Folkart Maribor,No Description,Kneza Koclja 9,1
73,Festival de folklore internacional CIOFF MARIBOR,No Description,Kneza Koclja 9,2
73,Festival folklore international du Cioff Folkart Maribor,No Description,Kneza Koclja 9,3
74,International Folkloric Festival of Extremadura,No Description,Ronda del Pilar 18,1
74,Festival Folklórico Internacional de Extremadura,No Description,Ronda del Pilar 18,2
74,Festival folklorique international des extrémités,No Description,Ronda del Pilar 18,3
75,Nazarene International Folk Days,No Description,"Mellizas, 33",1
75,Jornadas Folclóricas Nazarenas Internacionales,No Description,"Mellizas, 33",2
75,Nazarene International Folk Days,No Description,"Mellizas, 33",3
76,International Mostra de Dansa Popular,No Description,"Industria, 38 - 40",1
76,MOSTRA INTERNACIONAL DE DANSA POPULAR,No Description,"Industria, 38 - 40",2
76,Mostra international de dansa populaire,No Description,"Industria, 38 - 40",3
77,International Folklore Festival 'City of Burgos',"The International Folklore Festival ""City of Burgos"" converts Burgos summer into an attractive meeting point for the world's cultures.It is celebrated during the month of the outdoor in the Plaza de San Juan.

For five days Burgos becomes the Universal Center for Peace, Tolerance, Diversity, Integration and Cultures.Pasacalles and parades for squares and streets, folk animations, handicraft markets, exhibitions, dances workshops, music recitals and the performances and concerts of the groups participating in the festival make them an obligatory annual event.International, national and local groups participate in it.","San Lorenzo, 32 - 2º",1
77,Festival Internacional de Folclore 'Ciudad de Burgos',"El Festival Internacional de Folclore “Ciudad de Burgos” convierte el verano burgalés en un atractivo punto de encuentro de las culturas del mundo. Se celebra durante el mes de julio al aire libre en la Plaza de San Juan.

Durante cinco días Burgos se convierte en el centro universal de la paz, la tolerancia, la diversidad, la integración y las culturas. Pasacalles y desfiles por plazas y calles, animaciones folclóricas, mercadillos de artesanía, exposiciones, talleres de danzas, recitales de músicas y las actuaciones y conciertos de los grupos participantes en el festival le convierten en una cita anual obligada. Participan en él grupos internacionales, nacionales y locales.","San Lorenzo, 32 - 2º",2
77,Festival international du folklore 'City of Burgos',"Le festival du folklore international ""City of Burgos"" convertit l'été de Burgos en un point de rencontre attrayant pour les cultures du monde.Il est célébré pendant le mois de l'extérieur de la Plaza de San Juan.

Pendant cinq jours, Burgos devient le centre universel de paix, de tolérance, de diversité, d'intégration et de cultures.Pasacalles et défilés pour les carrés et les rues, les animations folkloriques, les marchés de l'artisanat, les expositions, les ateliers de danses, les récitals musicaux et les performances et les concerts des groupes participant au festival en font un événement annuel obligatoire.Les groupes internationaux, nationaux et locaux y participent.","San Lorenzo, 32 - 2º",3
78,International Folklore Festival of Ciudad Real,No Description,"Santo Tomás de Villanueva, 5",1
78,Festival Internacional de Folclore de Ciudad Real,No Description,"Santo Tomás de Villanueva, 5",2
78,Festival international du folklore de Ciudad réel,No Description,"Santo Tomás de Villanueva, 5",3
89,World folk party,"The World Folkfest has been an annual tradition for over three decades, promoting unity and togetherness through music. The festival brings together five to eight selected folk ensembles and musicians from around the world to perform on a specially constructed stage in Utah's beautiful outdoor setting, with the stunning Rocky Mountains as a backdrop. The community is renowned for its warm and welcoming nature and embraces performers in their homes and hearts. Host families offer a unique opportunity for artists to build international friendships that can last a lifetime. The week-long celebration brings together people from different backgrounds, inviting storytellers, art enthusiasts, and folk lovers worldwide to celebrate our motto: ""One World on One Stage.""",No Address,1
89,Fiesta popular del mundo,"El Folkfest mundial ha sido una tradición anual durante más de tres décadas, promoviendo la unidad y la unión a través de la música.El festival reúne de cinco a ocho conjuntos folclóricos seleccionados y músicos de todo el mundo para actuar en un escenario especialmente construido en el hermoso entorno al aire libre de Utah, con las impresionantes montañas rocosas como telón de fondo.La comunidad es reconocida por su naturaleza cálida y acogedora y abraza a los artistas en sus hogares y corazones.Las familias anfitrionas ofrecen una oportunidad única para que los artistas construyan amistades internacionales que puedan durar toda la vida.La celebración de una semana reúne a personas de diferentes orígenes, invitando a los narradores, entusiastas del arte y amantes del folclórico en todo el mundo para celebrar nuestro lema: ""Un mundo en un escenario"".",No Address,2
89,Fête folklorique du monde,"Le FolkFest du monde est une tradition annuelle depuis plus de trois décennies, faisant la promotion de l'unité et de l'unité à travers la musique.Le festival rassemble cinq à huit ensembles folkloriques et musiciens sélectionnés du monde entier pour se produire sur une scène spécialement construite dans le magnifique cadre en plein air de l'Utah, avec les superbes montagnes Rocky en toile de fond.La communauté est réputée pour sa nature chaleureuse et accueillante et embrasse les artistes dans leurs maisons et leurs cœurs.Les familles d'accueil offrent aux artistes une opportunité unique de nouer des amitiés internationales qui peuvent durer toute une vie.La célébration d'une semaine rassemble des gens d'horizons différents, invitant les conteurs, les amateurs d'art et les amants folkloriques du monde entier pour célébrer notre devise: ""Un monde sur une scène"".",No Address,3
92,International Folklore Festival 'Cultures and traditions of the world' of novels,No Description,Quai Sainte Claire,1
92,Festival internacional del folklore 'Culturas y tradiciones del mundo' de las novelas,No Description,Quai Sainte Claire,2
92,Festival International de Folklore  'Cultures et Traditions du Monde' de Romans,No Description,Quai Sainte Claire,3
97,International Folklore Festival in the Mediterranean,No Description,Glorieta de España 1,1
97,Festival Internacional de Folclore en el Mediterráneo,No Description,Glorieta de España 1,2
97,Festival international du folklore en Méditerranée,No Description,Glorieta de España 1,3
98,Popular International Folkloric Show,No Description,Garcia Doriga 15-1º IZQ,1
98,Espectáculo folklórico internacional popular,No Description,Garcia Doriga 15-1º IZQ,2
98,Spectacle folklorique international populaire,No Description,Garcia Doriga 15-1º IZQ,3
99,International Folklore Festival Villa de Ingenio 'Sample Solidarity of the Peoples',No Description,Plaza de la Candelaria 1,1
99,Festival InternaCional de Folklore Villa de Ingenio 'MUESTRA SOLIDARIA  DE LOS PUEBLOS',No Description,Plaza de la Candelaria 1,2
99,Festival du folklore international Villa de Ingenio 'Solidarité de l'échantillon des peuples',No Description,Plaza de la Candelaria 1,3
101,Round International Folk Gala,No Description,"Lorenzo Borrego, 12 Local",1
101,Gala Folklórica Internacional de Ronda,No Description,"Lorenzo Borrego, 12 Local",2
101,Gala folk international rond,No Description,"Lorenzo Borrego, 12 Local",3
102,"International Folklore Meeting 'City of Zaragoza', Eifolk",No Description,Bolivia nº33-35 local,1
102,"Encuentro Internacional de Folklore 'Ciudad de Zaragoza', Eifolk",No Description,Bolivia nº33-35 local,2
102,"Réunion du folklore international «City of Zaragoza», Eifolk",No Description,Bolivia nº33-35 local,3
115,International meeting week,No Description,Permer Str.6,1
115,Semana de la reunión internacional,No Description,Permer Str.6,2
115,Semaine de la réunion internationale,No Description,Permer Str.6,3
107,"National Cultural Children's Meeting, Karditsa","The Children Meeting takes place every year in karditsa city and is organized by the folk dance association ""Karaguna"", a founding member of CIOFF® Greece. This meeting gives the opportunity to children and youth to participate folklore and traditions and be part of the tranfering cultural heritage to next generations.","13, Pereviou Street",1
107,"Reunión Nacional de Niños Culturales, Karditsa","La reunión de niños se lleva a cabo todos los años en la ciudad de Karditsa y está organizada por la Asociación de Danza Folklórica ""Karaguna"", miembro fundador de CIOFF® Grecia.Esta reunión brinda la oportunidad a que los niños y los jóvenes participen en el folklore y las tradiciones y sean parte del patrimonio cultural que transmite a las próximas generaciones.","13, Pereviou Street",2
107,"Réunion nationale des enfants culturels, Karditsa","La réunion des enfants se déroule chaque année dans la ville de Karditsa et est organisée par la Folk Dance Association ""Karaguna"", membre fondateur de la Grèce CIOff®.Cette réunion donne aux enfants et aux jeunes de participer le folklore et les traditions et de faire partie du patrimoine culturel tranquille aux prochaines générations.","13, Pereviou Street",3
140,International folklore review - Castiglione del Lago,No Description,No Address,1
140,Revisión internacional del folklore - Castiglione del Lago,No Description,No Address,2
140,Revue internationale du folklore - Castiglione del Lago,No Description,No Address,3
180,International Folklore Festival - Hoogstraten,www.gelmelzwaaiers.be,J. Van Cuyckstraat 25,1
180,Festival Internacional de Folklore - Hoogstraten,www.gelmelzwaaiers.be,J. Van Cuyckstraat 25,2
180,Festival international du folklore - Hoogstraten,www.gelmelzwaaiers.be,J. Van Cuyckstraat 25,3
142,The International Folklore Festival 'EUROFOLK - ZAMOSC',"The International Folklore Festival ""EUROFOLK - ZAMOSC"" has been organised by the Association of Friends of the Folk Song and Dance Ensemble ""Zamojszczyzna"", the Zamosc Cultural Centre and the Song and Dance Ensemble ""Zamojszczyzna"" since 2002 in the month of July.

The festival invites amateur folklore ensembles developed artistically or stylised, presenting a high level of performance; youth and adult groups (over 16 years of age).

The aim of the Festival is to popularise the folklore and folk culture of individual countries, to show the rich cultural diversity of Europe and the rest of the world.
The main festival concerts take place on an open-air stage located in the beautiful Renaissance Great Market Square in Zamosc. Concerts of invited ensembles are also organised outside of Zamosc - in tourist destinations of our region.
The festival is accompanied by a folk art fair.

The Festival has been recognized as a CIOFF® International Festival",Partyzantow 13,1
142,El festival internacional del folklore 'Eurofolk - Zamosc',"El festival internacional del folklore ""Eurofolk - Zamosc"" ha sido organizado por la Asociación de Amigos del Conjunto Folk Song and Dance ""Zamojszczzna"", el Centro Cultural Zamosc y el conjunto de canciones y danza ""Zamojszczzna"" desde 2002 en el mes de julio.

El festival invita a conjuntos de folklore amateur desarrollados artísticamente o estilizados, presentando un alto nivel de actuación;grupos juveniles y adultos (más de 16 años).

El objetivo del festival es popularizar el folklore y la cultura popular de los países individuales, para mostrar la rica diversidad cultural de Europa y el resto del mundo.
Los principales conciertos del festival tienen lugar en un escenario al aire libre ubicado en la hermosa Gran Plaza del Mercado Renaissance en Zamosc.Los conciertos de conjuntos invitados también están organizados fuera de Zamosc, en destinos turísticos de nuestra región.
El festival se acompaña de una feria de arte popular.

El festival ha sido reconocido como un festival internacional CIOFF®",Partyzantow 13,2
142,Le festival du folklore international «Eurofolk - Zamosc»,"Le festival du folklore international ""Eurofolk - Zamosc"" a été organisé par l'Association of Friends of the Folk Song and Dance Ensemble ""Zamojszczyzna"", le Zamosc Cultural Center et le Song and Dance Ensemble ""Zamojszczyzna"" depuis 2002 au mois de juillet.

Le festival invite des ensembles de folklore amateurs développés artistiquement ou stylisés, présentant un haut niveau de performance;Groupes de jeunes et d'adultes (plus de 16 ans).

Le but du festival est de populariser la culture folklore et folklorique des pays individuels, pour montrer la riche diversité culturelle de l'Europe et le reste du monde.
Les principaux concerts du festival se déroulent sur une scène en plein air située dans la magnifique grande place du marché de la Renaissance à Zamosc.Des concerts d'ensembles invités sont également organisés en dehors de Zamosc - dans des destinations touristiques de notre région.
Le festival est accompagné d'une foire d'art folklorique.

Le festival a été reconnu comme un festival international CIOff®",Partyzantow 13,3
143,"International Olsztyn Folklore Days 'Warmia', Olsztyn",CIOFF® International Festival,Parkowa 1,1
143,"Días internacionales de folklore de Olsztyn 'Warmia', Olsztyn",Festival Internacional CIOFF®,Parkowa 1,2
143,"International Olsztyn Folklore Days 'Warmia', Olsztyn",Festival international CIOff®,Parkowa 1,3
213,International Festival Costumbrista de Peñalolen,"International Event of Music, Dance, Gastronomy and Crafts.
Attached to the Festfolk Chile network.

During 2019 celebrates edition No. 20",Av Grecia 8787,1
213,Festival Internacional Encuentro Costumbrista de Peñalolen,"Evento internacional de musica, danza, gastronomía y artesanía.
Adscrito a la RED FESTFOLK Chile.

Durante el 2019 celebra la edición N°20",Av Grecia 8787,2
213,Festival international Costumbrista de Peñalolen,"Événement international de musique, de danse, de gastronomie et d'artisanat.
Attaché au réseau du Chili Festfolk.

En 2019, célèbre l'édition n ° 20",Av Grecia 8787,3
202,Dijon vine festivals,No Description,27 bvd Trémouille Cellier de Clairvaux,1
202,Festivales de Vine de Dijon,No Description,27 bvd Trémouille Cellier de Clairvaux,2
202,Fêtes de la Vigne de Dijon,No Description,27 bvd Trémouille Cellier de Clairvaux,3
410,Finno-Ugrian Days,"The Cultural Congress of Finno-Ugric Peoples approved in 1931 a resolution to celebrate Finno-Ugric day on the third weekend of October each year. The custom faded away after World War II, but was revived in Estonia by Fenno-Ugria in 1998.

As of today, the celebration of Finno-Ugric Day has grown into an almost month-long festival that takes place all across Estonia and includes an international conference, concerts, exhibitions, lectures, and a rich film program. Fenno-Ugria is the main organiser of these events, but an impressive number of museums, educational institutions, cultural organizations, and civil associations all across Estonia likewise join in. One of the festival’s most awaited events are its large folk concerts played by bands and musicians representing almost every living Finno-Ugric nation, thus giving diverse audiences a clearer picture of their kindred peoples’ unique folklore. Jazz and ethno-rock artists are also popular on the concert lineups, as is folk-inspired chamber music.

Finno-Ugric Days events are held simultaneously in Finland, Hungary, and the Finno-Ugric regions of Russia and Latvia. By celebrating their individual histories, languages, folklore, and contemporary cultures, Finno-Ugric peoples have an exceptional opportunity to support and strengthen one another in the face of challenging global developments that affect them all.",NGO Fenno-Ugria Asutus,1
410,Días finno-ugrino,"El Congreso Cultural de los Pueblos Finno-Ugric aprobó en 1931 una resolución para celebrar el Día Finno-Ugric el tercer fin de semana de octubre de cada año.La costumbre se desvaneció después de la Segunda Guerra Mundial, pero Fenno-Ugria revivió en Estonia en 1998.

A partir de hoy, la celebración del Día Finno-Ugric se ha convertido en un festival de casi un mes que tiene lugar en todo Estonia e incluye una conferencia internacional, conciertos, exposiciones, conferencias y un rico programa de cine.Fenno-Ugria es el principal organizador de estos eventos, pero un número impresionante de museos, instituciones educativas, organizaciones culturales y asociaciones civiles en toda Estonia también se unen. Uno de los eventos más esperados del festival son sus grandes conciertos folclóricos interpretados por bandas y bandas.Músicos que representan a casi todas las naciones finas y finas vivas, lo que le da a diversas audiencias una imagen más clara del folklore único de sus pueblos afines.Los artistas de jazz y etno-rock también son populares en las alineaciones de conciertos, al igual que la música de cámara inspirada en el folk.

Los eventos de Finno-Ugric Days se llevan a cabo simultáneamente en Finlandia, Hungría y las regiones finnocrícreas de Rusia y Letonia.Al celebrar sus historias individuales, idiomas, folklore y culturas contemporáneas, los pueblos finno-érgicos tienen una oportunidad excepcional para apoyarse y fortalecerse entre sí frente a los desarrollos globales desafiantes que los afectan a todos.",NGO Fenno-Ugria Asutus,2
410,Jours finno-agriens,"Le Congrès culturel des peuples finno-ougriques a approuvé en 1931 une résolution pour célébrer la journée finno-ougrique le troisième week-end d'octobre de chaque année.La coutume s'est estompée après la Seconde Guerre mondiale, mais a été relancé en Estonie par Fenno-Ugria en 1998.

À ce jour, la célébration de la journée finno-ougrique est devenue un festival presque d'un mois qui se déroule dans toute l'Estonie et comprend une conférence internationale, des concerts, des expositions, des conférences et un programme de cinéma riche.Fenno-Ugria est le principal organisateur de ces événements, mais un nombre impressionnant de musées, d'établissements d'enseignement, d'organisations culturelles et d'associations civiles à travers l'Estonie se joignent également à.Des musiciens représentant presque toutes les nations finno-ougriques vivantes, donnant ainsi au public diversifié une image plus claire du folklore unique de leurs peuples.Les artistes de jazz et d'ethno-rock sont également populaires dans les programmes de concert, tout comme la musique de chambre inspirée du folk.

Les événements des jours finno-ougriques ont lieu simultanément en Finlande, en Hongrie et dans les régions finno-ougriques de Russie et de Lettonie.En célébrant leurs histoires individuelles, leurs langues, leur folklore et leurs cultures contemporaines, les peuples finno-ougriques ont une opportunité exceptionnelle de se soutenir et de se renforcer mutuellement face à des développements mondiaux difficiles qui les affectent tous.",NGO Fenno-Ugria Asutus,3
419,International Folk Meetings Malopolska,"An International Folklore Festival is one of the means to safeguard, to promote and to diffuse traditional culture, mainly through such genres of expressions as music, dance, games, rituals, customs, know-how of handicraft and other arts. To be a significant contribution to the maintenance and enhancement of cultural identity and diversity, a folklore festival has to be implemented in an appropriate cultural context. Festival is supported by International Council of Organizations of Folklore Festivals and Folk Arts (CIOFF).

Every year Festival take place in Myslenice (POLAND, Malopolska Region). The International Folk Meetings, Malopolska is a official event under the patronage of the Marshal of Malopolska Region. Participation in the festival is free of any charge for groups.

At an International Folk Meetings, Malopolska performers have primarily the place and role of artists. However, as participants of a cultural event, especially when it is implemented as a meeting place for cultures, they assume much broader cultural function.

The Festival has been recognized as a CIOFF® Recognized International Festival.",ul. Rynek 8/9,1
419,Reuniones populares internacionales Malopolska,"Un festival internacional del folklore es uno de los medios para salvaguardar, promover y difundir la cultura tradicional, principalmente a través de géneros de expresiones como música, danza, juegos, rituales, costumbres, conocimiento de la artesanía y otras artes.Para ser una contribución significativa al mantenimiento y la mejora de la identidad cultural y la diversidad, un festival del folklore debe implementarse en un contexto cultural apropiado.El festival cuenta con el apoyo del Consejo Internacional de Organizaciones de Festivales Folklore y Artes Folclóricas (CIOFF).

Cada año, el festival se lleva a cabo en Myslenice (región de Polonia, Malopolska).Las reuniones populares internacionales, Malopolska, es un evento oficial bajo el patrocinio del mariscal de la región de Malopolska.La participación en el festival está libre de cualquier cargo para los grupos.

En una reunión popular internacional, los artistas de Malopolska tienen principalmente el lugar y el papel de los artistas.Sin embargo, como participantes de un evento cultural, especialmente cuando se implementa como un lugar de reunión para las culturas, asumen una función cultural mucho más amplia.

El festival ha sido reconocido como un festival internacional reconocido de CIOFF®.",ul. Rynek 8/9,2
419,Réunions folkloriques internationales Malopolska,"Un festival du folklore international est l'un des moyens de sauvegarder, de promouvoir et de diffuser la culture traditionnelle, principalement à travers des genres d'expressions telles que la musique, la danse, les jeux, les rituels, les coutumes, le savoir-faire de l'artisanat et d'autres arts.Pour être une contribution significative à l'entretien et à l'amélioration de l'identité culturelle et de la diversité, un festival du folklore doit être mis en œuvre dans un contexte culturel approprié.Le festival est soutenu par le Conseil international des organisations de festivals folkloriques et d'arts folkloriques (CIOff).

Chaque année, le festival a lieu à Myslenice (Pologne, région de Malopolska).Les réunions folkloriques internationales, Malopolska est un événement officiel sous le patronage du maréchal de la région de Malopolska.La participation au festival est exempte de toute charge pour les groupes.

Lors d'une réunion folk internationale, les artistes de Malopolska ont principalement le lieu et le rôle des artistes.Cependant, en tant que participants d'un événement culturel, en particulier lorsqu'il est mis en œuvre comme lieu de rencontre pour les cultures, ils assument une fonction culturelle beaucoup plus large.

Le festival a été reconnu comme un festival international reconnu CIOff®.",ul. Rynek 8/9,3
110,International Children's Folklore Festival Children's Folkart,No Description,Partizanska 5,1
110,Festival de folklore internacional para niños Folkart para niños,No Description,Partizanska 5,2
