"slug","state_mode","url_validated","director_name","email","url","contact","phone","lat","lng","transport_lat","transport_lng","youtube_id","published","country_id","logo_id","cover_id","created_by","updated_by","created_at"
ftes-de-la-vigne-de-dijon,offline,false,"",contact@tradculture.fr,www.fetesdelavigne.org,,+33 - 3.80.30.37.95,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
finnougrian-days,offline,false,"",fennougria@fennougria.ee,www.fennougria.ee,,"",,,,,,true,61,,,84,,2024-09-28 23:46:04.804
international-folk-meetings-malopolska,offline,false,"",festival@myslenice.pl,www.festival.myslenice.pl,,+4812 2721511,,,,,,true,140,,,84,,2024-09-28 23:46:04.804
intern-folklore-festival-pestisorul-de-aur-children-folklore-festival,offline,false,"",ansamblulartistic@yahoo.com,www.baladeledelteitulcea.ro,,+40-240-532 599,,,,,,true,151,,,84,,2024-09-28 23:46:04.804
international-childrens-folklore-festival-childrens-folkart,offline,false,"",neva.kovacic@jskd.si,http://www.festival-lent.si/,,+386-2-234 2114,,,,,,true,58,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folklore-ciudad-de-lorca,offline,false,"",corosydanzaslorca@gmail.com,www.corosydanzasdelorca.com,,+34 607 366 702,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
hora-of-ancestors-international-folklore-festival,offline,false,"",cultura@cjcpctvs.ro,https://www.facebook.com/centrulculturiitraditionale.vaslui,,"0040335-401166",,,,,,true,151,,,84,,2024-09-28 23:46:04.804
encuentro-regional-infantil-de-folklore,offline,false,"",ehalcoba@gmail.com,www.cioffargentina.org.ar,,"54 358 4702591",,,,,,true,9,,,84,,2024-09-28 23:46:04.804
festival-mondial-de-folklore-de-la-ville-de-saintghislain,offline,false,"",festifolk@skynet.be,www.festifolk.be,,+32-65-621 974,,,,,,true,18,,,84,,2024-09-28 23:46:04.804
werelddansfestival-helloschoten,offline,false,"",info@helloschoten.be,www.helloschoten.be,,"",,,,,,true,18,,,84,,2024-09-28 23:46:04.804
internationaal-folkloristisch-oogstfeest-de-pikkeling,offline,false,"",harvestfestival@de-pikkeling.be,www.de-pikkeling.be,,+32 53 77 70 40,,,,,,true,18,,,84,,2024-09-28 23:46:04.804
wereldfestival-dans-en-muziek-kadans-torhout,offline,false,"",kadans.festival@gmail.com,www.ka-dans.be,,"",,,,,,true,18,,,84,,2024-09-28 23:46:04.804
festival-mondial-de-folklore-de-jambesnamur,offline,false,"",secretariat@festifolkambes.be,www.festifolkjambes.be,,"",,,,,,true,18,,,84,,2024-09-28 23:46:04.804
bonheidansfestival-iff-bonheiden,offline,false,"",walter_casteels@skynet.be,https://www.dekrekels.be/en/festival-int/,,"00 32 (0) 15 51 56 49",,,,,,true,18,,,84,,2024-09-28 23:46:04.804
veliko-tarnovo-international-folklore-festival,offline,false,"",info@cioff-bulgaria.com,www.folklorefest.com,,+359 879 401195,,,,,,true,28,,,84,,2024-09-28 23:46:04.804
internationales-hahnentanzfest,offline,false,"",mayer-suessen@t-online.de,www.albverein-suessen.de,,+49 7162-7733,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-brno-brno,offline,false,"",mff.brno@centrum.cz,www.folklornet.cz/mff,,"",,,,,,true,144,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-neighbours,offline,false,"",cioff-slovenia@cioff.org,www.zltss.si,,"",,,,,,true,58,,,84,,2024-09-28 23:46:04.804
international-bagpipe-festival-strakonice-strakonice,offline,false,"",meks@strakonice.cz,www.dudackyfestival.cz,,+420-383-311 530,,,,,,true,144,,,84,,2024-09-28 23:46:04.804
interfolk-du-puy-en-velay,offline,false,"",interfolk@gmail.com,www.interfolk.fr,,+33-4-7102 0284,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
festival-mondialfolk-de-plozevet,offline,false,"",info@mondialfolk.org,www.mondialfolk.bzh,,"",,,,,,true,66,,,84,,2024-09-28 23:46:04.804
festival-de-gannat-les-cultures-du-monde,offline,false,"",informations@gannat.com,www.lesculturesdumonde.org,,+33-4-7090.6630,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
festival-cultures-aux-curs-montignac,offline,false,"",a-l-m2@wanadoo.fr,www.festivaldemontignac.fr,,+33-5-5351 8688,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
festival-du-rouergue-cultures-du-monde,offline,false,"",ffir@wanadoo.fr,"",,+33.5.65.46.84.27,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
festival-danses-et-musiques-du-monde-amlie-les-bains,offline,false,"",festivaldamelielesbains@gmail.com,www.festivaldamelielesbains66.com,,+33-04 68 39 20 76,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
thringer-tanzfest,offline,false,"",info@tanzverband.de,www.tanzverband.de,,+49-361-644-12974,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
heimatfieber-wein-folklore-genuss,offline,false,"",info@kroev.de,www.kroev.de  +  www.trachtentreffen.de,,+49-6541-9486,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
europisches-folklorefestival-bitburg,offline,false,"",Noe.M@stadt.bitburg.de,www.bitburg.de; www.folklore-bitburg.de,,+49-6561-6001 240,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
internationales-folklorefestival-lausitz,offline,false,"",folklorefestival-lausitz@sorben.com,www.domowina.de; www.folklorefestival-lausitz.de,,+49-3591-550 206,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
internationales-folklorefestival-danetzare,offline,false,"",info@tfe-erfurt.de,www.tfe-erfurt.de; www.danetzare.de,,+49-361-421 3499,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folklore-de-argentina-melincu,offline,false,"",sentimientocriollosc@gmail.com,"",,+54 3465 499343,,,,,,true,9,,,84,,2024-09-28 23:46:04.804
faank-folklore-festival-shrovetide-tradition,offline,false,"","",www.strani.cz,,"",,,,,,true,144,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-strnice-strnice,offline,false,"",info@nulk.cz,www.festivalstraznice.cz,,+420-518-306 630,,,,,,true,144,,,84,,2024-09-28 23:46:04.804
europische-jugendwoche-burg-ludwigstein,offline,false,"",eurowoche@goebel-versicherungsmakler.de,www.eurowoche.org,,+49-6427-930666,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-cioff-frdek-mstek,offline,false,"",info@folklornifestivalfm.cz,https://www.folklornifestivalfm.cz/,,"",,,,,,true,144,,,84,,2024-09-28 23:46:04.804
edmonton-heritage-festival,offline,false,"",admin@heritagefest.ca,Heritagefest.ca,,"1-780-488-3378",,,,,,true,35,,,84,,2024-09-28 23:46:04.804
festival-internazionale-del-folklore-flavio-fiorletta-alatri,offline,false,"",culturaeturismo@comune.alatri.fr.it,"",,+39 0775 448378,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-of-folk-culture-pobrazenje-vevcani,offline,false,"",kud.drimkol@gmail.com,http://kuddrimkol.mk,,+389 (0) 75/425-250,,,,,,true,145,,,84,,2024-09-28 23:46:04.804
international-children-festival-skoci-kolo-da-skocimo,offline,false,"",emindjecevic@yahoo.com,"",,+38269924314,,,,,,true,122,,,84,,2024-09-28 23:46:04.804
international-folk-festival-cetinje,offline,false,"",kudnjegos@gmail.com,"",,+382 69 810360,,,,,,true,122,,,84,,2024-09-28 23:46:04.804
international-and-national-folk-festival-akovacki-vezovi,offline,false,"",tz-grada-djakova@os.t-com.hr,www.tzdjakovo.eu,,+385-31-812-319,,,,,,true,48,,,84,,2024-09-28 23:46:04.804
mostra-folclrica-internacional-infantil-popular-de-viveiro,offline,false,"",bagoasdaterra@gmail.com,www.bagoasdaterra.com,,+34.982.560.444,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
silistra-international-childrens-dance-festival-tomorrows-peace-begins-with-todays-friendship,offline,false,"",kultura_ss@abv.bg,"",,+359 86 816 258,,,,,,true,28,,,84,,2024-09-28 23:46:04.804
summerfest-international-folklore-festival-and-folkart-fair,offline,false,"",sziq@mail.battanet.hu,http://summerfestbatta.hu/,,"",,,,,,true,80,,,84,,2024-09-28 23:46:04.804
children-gamesinternational-children-folk-festival,offline,false,"",oss.busevec@oss-busevec.hr,www.oss-busevec.hr,,"",,,,,,true,48,,,84,,2024-09-28 23:46:04.804
aspettando-la-sagra-festival-internazionale-del-folklore-nuoro,offline,false,"",info@amicidelfolklore.it,www.cioff-italia.org,,"",,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-internazionale-del-folklore-citt-di-bitonto,offline,false,"",repambanelle@libero.it,www.cioff-italia.org,,"",,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-internazionale-del-folclore-roccalumera,offline,false,"",natalefranzone@hotmail.com,www.cioff-italia.org,,+39 0942 744 254,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-internacional-del-almojabano-con-queso,offline,false,"",academia21corella@hotmail.com,"",,"",,,,,,true,136,,,84,,2024-09-28 23:46:04.804
taskopru-international-culture-and-garlic-festival2024-festival-was-cancelled-due-to-municipality-elections,offline,false,"",cioffturk@gmail.com,"",,"05323513969",,,,,,true,182,,,84,,2024-09-28 23:46:04.804
sivrihisar-international-nasreddin-hodja-culture-and-art-festival,offline,false,"",cioffturk@gmail.com,"",,"05323513969",,,,,,true,182,,,84,,2024-09-28 23:46:04.804
festival-nacional-de-bailes-folklricos-cioff-panam,offline,false,"",edanhanchi@hotmail.com,"",,"396-9856",,,,,,true,136,,,84,,2024-09-28 23:46:04.804
estate-internazionale-del-folklore-castrovillari,offline,false,"",estatedelfolklore@gmail.com,www.estateinternazionaledelfolklore.it,,+39 0981 27696,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-neighbours,offline,false,"",presidente@cioff-italia.org,www.cioff-italia.org,,+39 0771 658600,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
international-dance-music-festival-op-roakeldais,offline,false,"",d.kloosterhuis@oproakeldais.nl,www.oproakeldais.nl,,"",,,,,,true,133,,,84,,2024-09-28 23:46:04.804
international-festival-folklore-kotor,offline,false,"",info@iffkotor.me,www.iffkotor.me,,+38268300811,,,,,,true,122,,,84,,2024-09-28 23:46:04.804
mediterranean-international-folklore-festival-za-jubav-tance-igrae,offline,false,"",kud.antezaninovic@gmail.com,"",,"",,,,,,true,48,,,84,,2024-09-28 23:46:04.804
grand-prix-der-folklore,offline,false,"",mecklenburger_folkloreensemble@online.de,www.folklore-ribnitz.de,,+49-3821 812 311,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
world-festival-ambert,offline,false,"",contact@festival-ambert.fr,www.festival-ambert.fr,,+33-4-73 82 66 34,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
tanz-und-musikfest,offline,false,"",info@werrataler.de,www.werrataler.de,,"",,,,,,true,3,,,84,,2024-09-28 23:46:04.804
festival-internacional-del-terere,offline,false,"",cioff.paraguay@gmail.com,"",,"0983791168",,,,,,true,138,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-baltica,offline,false,"",baltica@folkloorinoukogu.ee,www.baltica.ee,,"",,,,,,true,61,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-ronovsk-slavnosti-ronov-pod-radhotem,offline,false,"",muzeum@vmp.cz,www.vmp.cz,,+420-571-757 111,,,,,,true,144,,,84,,2024-09-28 23:46:04.804
latium-world-folkloric-festival-cori,offline,false,"",latiumfestival@yahoo.it,www.latiumfestival.it,,"",,,,,,true,90,,,84,,2024-09-28 23:46:04.804
europisches-folklore-festival,offline,false,"",office@folklore-festival-neustadt.de,www.folklore-festival-neustadt.de,,+49-4561- 3582,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-cioffpyrsosnaoussa-naoussa,offline,false,"",pyrsosnaousa@gmail.com,http://www.pyrsos-naoussa.gr/,,+30 2332026100,,,,,,true,72,,,84,,2024-09-28 23:46:04.804
international-folkore-festival-traditiondancefriendship-ioannina,offline,false,"",kalarrytes.gatzoyas@gmail.com,"",,"",,,,,,true,72,,,84,,2024-09-28 23:46:04.804
international-cioff-folklore-festival-pierides-musses-katerini,offline,false,"",inter.pm.ff@gmail.com,"",,-,,,,,,true,72,,,84,,2024-09-28 23:46:04.804
festival-delle-torri-cava-de-tirreni,offline,false,"",info@sbandieratori-cavensi.com,www.cioff-italia.org,,+39-089-343 363,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-internazionale-del-folklore-avianopiancavallo,offline,false,"",segreteria@prolocoaviano.it,www.cioff-italia.org,,"",,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-internazionale-del-folklore-citt-di-fondi,offline,false,"",luigi.divito57@gmail.com,www.cioff-italia.org,,+39 0771 502184,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-dei-cuori-tarcento,offline,false,"",info@festivaldeicuori.it,www.cioff-italia.org,,+39-0432- 793 147,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
momenti-di-folklore-internazionale-agrigento,offline,false,"",mimmocanino@tin.it,www.cioff-italia.org,,+39 0922 401 595,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-mondiale-del-folklore-castello-di-gorizia-gorizia,offline,false,"",info@etnosgorizia.it,www.cioff-italia.org,,+39 0481 535 415,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
folklores-du-monde-de-saint-malo,offline,false,"",gerard.besnard751@orange.fr,www.folkloresdumonde.bzh,,+33-2+33 2 99 88 52 66,,,,,,true,66,,,84,,2024-09-28 23:46:04.804
national-costumes-and-clothing-heritage-festival-kamnik,offline,false,"",doroteja.narat@kamnik-tourism.si,www.kamnik-tourism.si,,+38618318250,,,,,,true,58,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-zagreb,offline,false,"",msf@msf.hr,www.mfs.hr,,+385-1-6601-626,,,,,,true,48,,,84,,2024-09-28 23:46:04.804
bug-river-folklore-festival,offline,false,"",nsf@sokolowskakultura.pl,www.nsf-festiwal.pl,,+ 48 - 25 787 24 38,,,,,,true,140,,,84,,2024-09-28 23:46:04.804
international-folklore-festival-kashubian-meetings-with-the-folklore-of-world,offline,false,"",ckbbrusy@wp.pl,www.ckibbrusy.pl,,+48-52-3969330,,,,,,true,140,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folclore-rio,offline,false,"",gfbarcelinhos@gmail.com,www.gfbarcelinhos.com,,+351-253-833 838,,,,,,true,141,,,84,,2024-09-28 23:46:04.804
incontro-internazionale-del-folklore-isa-bionda-tempio-pausania,offline,false,"",folktempio@tiscali.it,www.cioff-italia.org,,+39 347 935 5204,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festarte-festival-internacional-de-artes-e-tradioes-populares-de-matosinhos,offline,false,"",festarte.rta@gmail.com,http://festarte.wixsite.com/ranchotipicoamorosa,,+351229952908,,,,,,true,141,,,84,,2024-09-28 23:46:04.804
festival-celestino-graa-a-festa-das-artes-e-das-tradies-populares-do-mundo,offline,false,"",fest.int.folk.santarem@hotmail.com,https://www.facebook.com/gracademico.dancasribatejanas,,+351.243.333.822,,,,,,true,141,,,84,,2024-09-28 23:46:04.804
nazioarteko-folklore-jaialda-portugalete,offline,false,"",elai-alai@elai-alai.eus,www.elai-alai.com,,+34-944-723 419,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-folklorico-de-los-pirineos,offline,false,"",oficina@festivaljaca.es,www.festivaljaca.es,,+34-974-355758,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
xornadas-de-folclore-de-ourense,offline,false,"",xornadasfolclore@depourense.es,www.ccpxaquinlorenzo@depourense.es,,+34-988-317880,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-international-de-msica-y-danza-popular-de-avils,offline,false,"",funsabugo@telecable.es,"",,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-folclore-cidade-da-corua,offline,false,"",festival@corosedanzaseidos.com,www.corosedanzaseidos.com,,+34-981-221 169,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-international-de-danzas-de-villablanca,offline,false,"",festivaldanzasvillablanca@gmail.com,www.festivaldevillablanca.es,,+34-959 340 017,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
jornades-internacionals-folklriques-de-catalunya,offline,false,"",jif.catalunya@adifolk.cat,www.adifolk.cat,,+34-933 025 017,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
festival-folclrico-internacional-la-esteva,offline,false,"",laesteva@hotmail.com,www.laesteva.es,,+34-609-922 409,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
childrens-folk-festival-kunovsk-lto-kunovice,offline,false,"",romana.habartova@seznam.cz,www.kunovske-leto.cz,,"",,,,,,true,144,,,84,,2024-09-28 23:46:04.804
international-folklore-festivaldoina-aiudului,offline,false,"",moldovannicolae1809@gmail.com,www.aiud.ro,,"0040258861357",,,,,,true,151,,,84,,2024-09-28 23:46:04.804
paasfeesten-leuven-easterfestival-leuven,offline,false,"",paasfeesten@gmail.com,www.paasfeestenleuven.be,,"",,,,,,true,18,,,84,,2024-09-28 23:46:04.804
the-international-folklore-festival-ozarow-mazowiecki,offline,false,"",sekretariat@dkusmiech.eu,"",,(+48) 22 722 14 45,,,,,,true,140,,,84,,2024-09-28 23:46:04.804
festival-internacional-de-msica-danza-y-canciones-populares-folk-del-mundo,offline,false,"",asociacion.lolatorres@gmail.com,www.lolatorres.es,,"",,,,,,true,59,,,84,,2024-09-28 23:46:04.804
dobrich-international-festival-folklore-without-borders,offline,false,"",info@cioff-bulgaria.com,http://www.dobrich.bg/en/info_pages/461-the-festivals-of-dobrich,,+359879401191,,,,,,true,28,,,84,,2024-09-28 23:46:04.804
international-childrens-and-youth-folkloric-ensembles-festival,offline,false,"",festivaldorna@gmail.com,"",,"0040230371369",,,,,,true,151,,,84,,2024-09-28 23:46:04.804
folk-azores-festival-internacional-de-foclore-dos-aores,offline,false,"",info@cofit.org,www.cofit.org,,+351 295 212 975,,,,,,true,141,,,84,,2024-09-28 23:46:04.804
folk-dance-festival-ilinden-days,offline,false,"",vsoklevski@gmail.com,ilindenskidenovi.com,,"0038971252132",,,,,,true,145,,,84,,2024-09-28 23:46:04.804
intern-folklore-und-trachtenfest-schwalenberg,offline,false,"",info@trachtengilde-schwalenberg.de,www.trachtengilde-schwalenberg.de,,+49 5284 - 942377,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
karsiyaka-municipality-international-childrens-festival-2024-festival-was-cancelled-due-to-municipality-elections,offline,false,"",kyakakultur@gmail.com,www.karsiyakafest.com,,+ 90-232 399 40 83,,,,,,true,182,,,84,,2024-09-28 23:46:04.804
international-folk-festival-karlovac,offline,false,"",mff.karlovac@gmail.com,www.mff-karlovac.com,,"",,,,,,true,48,,,84,,2024-09-28 23:46:04.804
ivz-internationales-volkstanztreffen-zrich,offline,false,"",info@volkstanztreffen.ch,www.volkstanztreffen.ch,,+41-34-446 0050,,,,,,true,171,,,84,,2024-09-28 23:46:04.804
festival-internazionale-del-folklore-terranostra-apiro,offline,false,"",terranostra@festivalterranostra.net,www.cioff-italia.org,,+39 0733 613048,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
royal-days-international-folk-dance-festival,offline,false,"",royaldaysfestival@gmail.com,www.kiralyinapok.hu,,+36 22 312 79,,,,,,true,80,,,84,,2024-09-28 23:46:04.804
ballus-incontro-internazionale-del-folklore-uta,offline,false,"",ballus.folkfestival@tiscali.it,www.cioff-italia.org,,"",,,,,,true,90,,,84,,2024-09-28 23:46:04.804
festival-nacional-de-folklore-ciudad-de-jumilla,offline,false,"",fnfjumilla@fnfjumilla.com,www.fnfjumilla.com,,+34 606.005.904,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
dorkovo-international-festival-for-authentik-folklore,offline,false,"",info@cioff-bulgaria.com,www.dorkovo.alle.bg,,+359 3543 327,,,,,,true,28,,,84,,2024-09-28 23:46:04.804
les-couleurs-du-monde-de-pujols,offline,false,"",festivaldepujols@gmail.com,www.festivaldepujols47.com,,"",,,,,,true,66,,,84,,2024-09-28 23:46:04.804
festival-internazionale-del-folklore-matelica,offline,false,"",assfolkmatelica@virgilio.it,www.cioff-italia.org,,+39 0737 787171,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
jurjevanje-folklore-festival-crnomelj,offline,false,"",info@jurjevanje.si,www.jurjevanje.si,,+3867-305-6530,,,,,,true,58,,,84,,2024-09-28 23:46:04.804
festival-international-de-folklore-valle-de-mena,offline,false,"",cultura@valledemena.es,"",,+34-947 126 211,,,,,,true,59,,,84,,2024-09-28 23:46:04.804
cime-celebrations-interculturelles-de-la-montagne-evolene,offline,false,"",info@cime-evolene.ch,www.cime-evolene.ch,,"",,,,,,true,171,,,84,,2024-09-28 23:46:04.804
international-festival-of-advent-and-christmas-traditions-carols-and-handicrafts-souzneni-ostrava,offline,false,"",tofel.zdenek@o2active.cz,www.souzneni-festival.cz,,"",,,,,,true,144,,,84,,2024-09-28 23:46:04.804
europisches-dudelsackfestival,offline,false,"",info@folkstanzfestival.de,www.schwaben-kultur.de,,+49-7433-4353,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
festival-caput-mundi-roma,offline,false,"",agmario2@libero.it,www.cioff-italia.org,,+39-06 812 6349,,,,,,true,90,,,84,,2024-09-28 23:46:04.804
rudolstadtfestival,offline,false,"",info@rudolstadt-festival.de,www.rudolstadt-festival.de,,+49-3672-486 460,,,,,,true,3,,,84,,2024-09-28 23:46:04.804
funchal-folk-arraial-do-mundo,offline,false,"",geral@gfmonteverde.com,https://www.gfmonteverde.com/fpt/findex.php,,"",,,,,,true,141,,,84,,2024-09-28 23:46:04.804
